company_id,type,rule_id,text,confidence_pct
ASIANPAINT,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,85.0
AXISBANK,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,94.0
AXISBANK,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,95.0
AXISBANK,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,95.0
BAJAJ-AUTO,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,93.0
BAJAJ-AUTO,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
BAJAJ-AUTO,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
BAJAJFINSV,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,92.0
BAJAJFINSV,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,94.0
BAJAJFINSV,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
BAJAJFINSV,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,89.0
BAJAJFINSV,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,94.0
BAJAJFINSV,con,CON-02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,90.0
BAJAJFINSV,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,85.0
BAJAJHLDNG,pro,PRO-03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,98.0
BAJAJHLDNG,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0
BAJAJHLDNG,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
BAJAJHLDNG,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
BAJAJHLDNG,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,91.0
BAJAJHLDNG,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,85.0
BAJAJHLDNG,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0
BAJAJHLDNG,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0
BAJFINANCE,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0
BAJFINANCE,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,89.0
BAJFINANCE,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,95.0
BAJFINANCE,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
BAJFINANCE,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,95.0
BAJFINANCE,con,CON-02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,90.0
BAJFINANCE,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85.0
BANKBARODA,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,89.0
BANKBARODA,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
BANKBARODA,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,95.0
BANKBARODA,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,95.0
BANKBARODA,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,85.0
BANKBARODA,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85.0
BEL,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95.0
BEL,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
BEL,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,85.0
BHARTIARTL,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
BHARTIARTL,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,95.0
BHARTIARTL,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,95.0
BHARTIARTL,con,CON-01,Debt-to-equity ratio of 2.61 is elevated for a non-financial company and warrants monitoring,92.0
BHEL,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0
BHEL,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,85.0
BHEL,con,CON-12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,85.0
BOSCHLTD,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
BOSCHLTD,pro,PRO-03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,98.0
BOSCHLTD,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
BOSCHLTD,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,85.0
BOSCHLTD,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0
BPCL,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,92.0
BPCL,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
BPCL,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,95.0
BPCL,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0
BPCL,con,CON-05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,85.0
BRITANNIA,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95.0
BRITANNIA,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
CANBK,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90.0
CANBK,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
CANBK,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,95.0
CANBK,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,95.0
CANBK,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,85.0
CANBK,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85.0
CHOLAFIN,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0
CHOLAFIN,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
CHOLAFIN,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,89.0
CHOLAFIN,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
CHOLAFIN,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,95.0
CHOLAFIN,con,CON-02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,90.0
CHOLAFIN,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,85.0
CIPLA,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
CIPLA,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
CIPLA,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,88.0
CIPLA,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
CIPLA,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,95.0
CIPLA,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0
CIPLA,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85.0
COALINDIA,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95.0
COALINDIA,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
COALINDIA,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
COALINDIA,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
COALINDIA,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,88.0
COALINDIA,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85.0
DABUR,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
DABUR,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
DABUR,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0
DABUR,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,85.0
DIVISLAB,pro,PRO-03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,98.0
DIVISLAB,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
DIVISLAB,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
DIVISLAB,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0
DIVISLAB,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0
DIVISLAB,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85.0
DIVISLAB,con,CON-09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,85.0
DLF,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
DLF,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,93.0
DLF,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,85.0
DLF,con,CON-12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,85.0
DMART,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,94.0
DMART,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,88.0
DMART,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
DMART,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,95.0
DMART,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0
DRREDDY,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
DRREDDY,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,88.0
DRREDDY,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,89.0
DRREDDY,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
DRREDDY,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,95.0
DRREDDY,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,85.0
EICHERMOT,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
EICHERMOT,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,86.0
EICHERMOT,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
EICHERMOT,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,85.0
GAIL,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
GAIL,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0
GAIL,con,CON-05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,85.0
GAIL,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,85.0
GODREJCP,con,CON-04,Company reported a net loss in the most recent financial year,95.0
GRASIM,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,95.0
GRASIM,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,95.0
GRASIM,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,85.0
GRASIM,con,CON-09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,85.0
HAL,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95.0
HAL,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,92.0
HAL,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,93.0
HAL,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
HAL,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,95.0
HAL,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,85.0
HAVELLS,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
HAVELLS,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0
HCLTECH,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,88.0
HCLTECH,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
HCLTECH,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
HCLTECH,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,85.0
HCLTECH,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0
HCLTECH,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85.0
HDFCBANK,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0
HDFCBANK,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
HDFCBANK,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,89.0
HDFCBANK,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85.0
HDFCBANK,con,CON-06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,90.0
HDFCLIFE,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0
HDFCLIFE,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
HDFCLIFE,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
HDFCLIFE,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,85.0
HDFCLIFE,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0
HEROMOTOCO,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
HEROMOTOCO,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
HEROMOTOCO,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
HEROMOTOCO,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,85.0
HEROMOTOCO,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0
HEROMOTOCO,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85.0
HEROMOTOCO,con,CON-12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,85.0
HINDALCO,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
HINDALCO,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
HINDALCO,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0
HINDALCO,con,CON-05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,85.0
HINDUNILVR,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
HINDUNILVR,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
HINDUNILVR,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
ICICIBANK,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,88.0
ICICIBANK,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
ICICIBANK,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,95.0
ICICIBANK,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,95.0
ICICIBANK,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,85.0
ICICIBANK,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85.0
ICICIBANK,con,CON-06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,90.0
ICICIGI,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
ICICIGI,pro,PRO-03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,98.0
ICICIGI,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
ICICIGI,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
ICICIGI,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0
ICICIGI,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85.0
ICICIPRULI,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,88.0
ICICIPRULI,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
ICICIPRULI,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
ICICIPRULI,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0
INDIGO,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
INDIGO,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,92.0
INDIGO,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
INDIGO,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,95.0
INDIGO,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
INDIGO,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,95.0
INDIGO,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,85.0
INDIGO,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85.0
INDUSINDBK,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85.0
INDUSINDBK,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
INDUSINDBK,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,87.0
INDUSINDBK,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,86.0
INDUSINDBK,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,85.0
INDUSINDBK,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85.0
INFY,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95.0
INFY,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
INFY,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
INFY,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0
INFY,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85.0
IOC,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0
IOC,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
IOC,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,93.0
IOC,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0
IOC,con,CON-05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,85.0
IRCTC,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95.0
IRCTC,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,89.0
IRCTC,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,94.0
IRCTC,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,95.0
IRCTC,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
IRCTC,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,95.0
IRCTC,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0
IRCTC,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85.0
IRFC,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,91.0
IRFC,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
IRFC,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,89.0
IRFC,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,93.0
IRFC,con,CON-06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,90.0
ITC,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,94.0
ITC,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
ITC,pro,PRO-03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,98.0
ITC,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
ITC,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
ITC,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0
ITC,con,CON-05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,85.0
JINDALSTEL,con,CON-05,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,85.0
JINDALSTEL,con,CON-12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,85.0
JIOFIN,pro,PRO-03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,98.0
JIOFIN,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
JIOFIN,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
JIOFIN,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0
JSWENERGY,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
JSWENERGY,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0
JSWENERGY,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,93.0
JSWENERGY,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,85.0
JSWENERGY,con,CON-12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,85.0
JSWSTEEL,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,86.0
JSWSTEEL,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.0
KOTAKBANK,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
KOTAKBANK,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,85.0
KOTAKBANK,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,92.0
KOTAKBANK,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,85.0
KOTAKBANK,con,CON-06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,90.0
LICI,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95.0
LICI,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
LICI,pro,PRO-03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,98.0
LICI,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,95.0
LICI,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
LODHA,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,85.0
LODHA,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,80.0
LODHA,con,CON-12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,85.0
